TruckCraneID,CraneManufacturers,AxesNums,CraneTotalWeight,OutriggerLongDis,OutriggersHorizDis,IsEnterRatedWT,DisMAHToGroud,DisMAHToRotaCen,Notes
,,,,,,,,,
STC120T5-1,三一,2,18.35,5.05,5.94,是,2.83,1.475,
STC250,三一,3,30,5.3,6.2,是,2.648,1.35,
STC250C5-2,三一,3,34.1,5.4,6.4,是,3.05,1.6,
STC250E-1,三一,3,31.7,5.28,6.4,是,3.053,1.567,
STC250E5-1,三一,3,32.2,5.28,6.4,是,3.053,1.567,
STC250E5-2,三一,3,33,5.28,6.4,是,3.053,1.567,
STC250H,三一,3,33,6.2,5.3,是,2.637,1.405,
STC250T4,三一,3,31.3,5.4,6.4,是,3.061,1.52,
STC350C5-1,三一,4,39,6.05,7.46,是,3.183,1.792,
STC500,三一,4,42,6,7.2,是,3.05,1.937,
STC500E-1,三一,4,42.5,6.24,8,是,3.177,1.805,
STC500E,三一,4,41,6.05,7.4,是,3.18,1.84,
STC550C5-1,三一,4,44.6,6.24,7.71,是,3.228,1.959,
STC800,三一,4,50,6.43,8,是,3.48,2.305,
STC800C5,三一,4,50,6.53,8,是,3.53,2.47,
STC800C6,三一,4,50,6.53,8,是,3.53,2.47,
STC800E-1,三一,4,50,6.53,8,是,3.57,2.47,
STC800E,三一,4,47.6,6.48,8,是,3.42,2.239,
STC850C7,三一,4,50,6.53,8,是,3.53,2.47,
STC1000S,三一,5,54.5,7.88,7.8,是,3.558,2.416,
STC1000T,三一,5,54.99,8,7.8,是,3.66,2.26,
SAC2200T,三一,5,54.8,8.557,8.3,是,3.7,2.35,
QY80V532,中联重科,4,50,6.2,7.6,否,,,
QY12D,中联重科,3,17.53,4.63,5.2,是,2.53,1.97,
,,,,,,,,,
起重机型号,起重机厂家,汽车起重机轴数,起重机总重（吨）,支腿纵向距离L(m),支腿横向距离B(m),是否录入额定起重量表,主臂铰链中心至地面距离h(m):,主臂铰链中心至回转中心距离a1(m),
self.model_edit = QLineEdit(),self.manufacturer_edit = QLineEdit(),self.axle_count_edit = QLineEdit(),,,,,,,
model,,,,,,,,,
